TargetPos_Z	IsShowPath	IsRandomSpeed	TargetAngularSpeed	Points	Distance	Angle	IntPoints	Lag	Index_Speed	Index_Lag	LaserDotTarget	TargetSpeed	PreviousDirDot	PointsThisRun	PointsTotal	Frames	Date
-7.49	1	0	7.2762	10.4003	0.066638	0.519399	10.2237	4	-1	29	0.934517	1	0.239501	5428	287473	532	2022-12-6-10:5:9
-7.49	0	0	7.08417	7.52097	0.370355	3.10394	7.05114	32	-1	28	0.495695	1	-0.245513	3712	291185	528	2022-12-6-10:5:17
-7.49	0	0	1.87198	10.7356	0.0293828	0.234983	10.8925	1	-1	27	0.903977	0.25	0.0134639	5762	296947	530	2022-12-6-10:5:24
-7.49	1	0	6.43668	10.5551	0.0494324	0.354204	10.5292	2	-1	26	0.916727	1	0.38983	5580	302527	531	2022-12-6-10:5:31
-7.49	1	0	12.1528	10.1107	0.0988061	0.650396	9.86415	1	-1	25	0.895837	2	0.0141621	5217	307744	530	2022-12-6-10:5:38
-7.49	1	0	3.73211	10.6159	0.0426804	0.34575	10.6591	8	-1	24	0.904921	0.5	0.227029	5649	313393	531	2022-12-6-10:5:46
-7.49	0	0	37.7562	5.77724	0.320261	4.82541	5.41935	2	-1	23	0.675219	8	-0.561243	2846	316239	527	2022-12-6-10:5:53
-7.49	1	0	20.9873	2.00567	0.269974	10.4729	1.827	64	-1	22	0.540092	4	-0.29192	951	317190	526	2022-12-6-10:6:2
-7.49	0	0	3.76538	10.361	0.0710049	0.572162	10.1966	2	-1	21	0.820713	0.5	-0.0279685	5383	322573	529	2022-12-6-10:6:10
-7.49	0	0	38.4511	3.42192	0.444062	6.55296	3.12476	16	-1	20	0.672814	8	-0.0448221	1643	324216	529	2022-12-6-10:6:18
-7.49	0	0	26.2478	6.89606	0.345507	3.59951	6.54373	8	-1	19	0.696745	4	-0.465307	3433	327649	526	2022-12-6-10:6:25
-7.49	1	0	1.80943	10.6864	0.0348463	0.277293	10.817	16	-1	18	0.942657	0.25	0.0905528	5722	333371	530	2022-12-6-10:6:34
-7.49	1	0	11.4745	9.27986	0.191127	1.28081	8.81955	16	-1	17	0.939286	2	0.202453	4683	338054	532	2022-12-6-10:6:41
-7.49	0	0	6.97023	10.2508	0.0832476	0.61662	10.1304	1	-1	16	0.876131	1	0.0137046	5348	343402	529	2022-12-6-10:6:48
-7.49	0	0	24.7791	0.896104	0.154435	20.1801	0.801136	64	-1	15	0.00615972	4	-0.410607	412	343814	528	2022-12-6-10:6:59
